Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15
882,-3.4,-1.734375,2687,698,0,2892,-0.4140625,-1.56679814072642,3.1015625,-1.671875,1749,1456,1583,1388
992,-3,-1.6875,2747,638,773,2969,-0.9765625,-1.47282736414467,3.2265625,-1.84375,1760,1475,1582,1424
998,-2.7,-1.640625,2423,585,761,2914,-1.1953125,-1.38359928757241,3.859375,-1.921875,1815,1510,1598,1478
998,-2.7,-1.4921875,2243,555,1083,2975,-1.953125,-1.28004463147091,4.75,-2.1484375,1835,1543,1629,1513
999,-2.3,-1.359375,1860,540,1049,2871,-2.1171875,-1.15787136894111,4.5078125,-2.1484375,1809,1550,1642,1546
1073,-1.8,-1.25,1529,540,1049,2821,-2.2421875,-1.03752714982765,3.7265625,-2.4296875,1785,1578,1651,1591
1093,-0.699999999999999,-0.890625,1191,503,1049,2921,-2.5078125,-0.933079616663157,4.0546875,-2.5625,1775,1611,1645,1612
1093,-0.699999999999999,-0.65625,779,0,1083,2972,-2.9453125,-0.827064459813354,4.3125,-2.5859375,1823,1653,1674,1638
1186,-0.699999999999999,-0.5234375,341,0,1072,3035,-3.6484375,-0.720880788286425,2.34375,-2.234375,1805,1642,1695,1684
1186,0.600000000000001,-0.5234375,360,0,968,3013,-4.125,-0.65192286853837,1.34375,-1.734375,1770,1635,1721,1750
1186,1,-0.46875,851,0,842,2924,-3.5703125,-0.618743183125191,1.6875,-1.6171875,1754,1626,1741,1783
1157,1.5,-0.3984375,1000,0,738,3066,-3.7734375,-0.594347217573703,1.984375,-1.6953125,1760,1622,1768,1811
1157,1.7,-0.3515625,1166,0,734,2974,-3.515625,-0.569442716021314,1.03125,-1.3671875,1707,1600,1782,1822
1096,1.7,-0.28125,1358,0,734,2925,-2.8671875,-0.561087925935455,0.859375,-1.234375,1638,1541,1797,1818
986,1.8,-0.1796875,1945,0,536,3006,-1.6484375,-0.565469270713163,0.65625,-1.0546875,1630,1489,1784,1811
876,1.8,-0.171875,2354,0,536,3047,-0.03125,-0.576539357815361,0.96875,-0.9765625,1643,1452,1744,1769
847,1.8,-0.3046875,2714,0,433,2851,0.9765625,-0.585541292445547,0.921875,-0.8203125,1631,1429,1707,1695
847,1.5,-0.359375,3047,411,329,2886,1.7109375,-0.595223748541946,0.0390625,-0.7109375,1618,1422,1667,1635
737,1.2,-0.5234375,3237,466,0,2981,2.734375,-0.621361557559031,-0.359375,-0.890625,1600,1425,1627,1575
627,1.2,-0.640625,3192,536,0,2956,3.828125,-0.659768434210554,0.046875,-1.2265625,1611,1393,1548,1482
517,0.800000000000001,-0.53125,3133,645,0,2837,4.1875,-0.697598865496393,0.453125,-1.09375,1628,1368,1463,1401
424,0.4,-0.40625,3088,653,0,2940,4.3515625,-0.726232100776073,1.4296875,-1.4453125,1671,1418,1474,1361
409,0.5,-0.171875,3088,684,0,3038,3.2890625,-0.733195918477879,1.125,-1.4921875,1670,1451,1445,1314
364,0.5,-0.109375,2837,692,0,2877,2.9375,-0.739577204458539,-0.0390625,-1.2890625,1692,1460,1427,1266
364,0.700000000000001,-0.234375,2673,692,0,2868,0.734375,-0.771057336618093,0.140625,-1.2421875,1769,1453,1423,1267
364,0.700000000000001,-0.1875,2814,692,0,2990,0.5546875,-0.806170739375646,1.3359375,-1.5390625,1831,1520,1454,1296
364,0.600000000000001,-0.390625,2823,669,0,2985,-0.8359375,-0.824419448910765,0.9375,-1.4765625,1829,1600,1484,1333
330,0.600000000000001,-0.234375,2752,677,0,2918,-1.5078125,-0.843935673070724,0.8359375,-1.5078125,1838,1638,1533,1394
343,0.600000000000001,-0.34375,2745,544,0,2982,-2.578125,-0.866738551689769,0.6953125,-1.75,1926,1653,1602,1450
343,0.5,-0.25,2587,544,0,2889,-2.453125,-0.884475143975254,0.6015625,-1.8359375,1994,1638,1652,1498
343,0.4,-0.265625,2446,513,0,2854,-3.0234375,-0.900681507253514,1.4609375,-1.796875,2024,1674,1700,1551
363,0.200000000000001,-0.2421875,2196,489,292,2999,-3.3203125,-0.90599277818354,1.1953125,-1.9453125,2017,1710,1743,1614
363,0.200000000000001,-0.1640625,1944,435,301,2940,-4.0859375,-0.912490589209603,0.4765625,-1.953125,1969,1699,1733,1617
424,0.200000000000001,-0.1875,1717,380,358,2925,-3.6015625,-0.932220647293378,0.21875,-2.0078125,1952,1664,1748,1631
478,0.200000000000001,-0.0546875,1436,0,311,2965,-3.921875,-0.960238211896993,0.8359375,-1.796875,1909,1588,1786,1614
521,0.200000000000001,-0.1171875,1220,0,311,3037,-4.0703125,-0.983185934874258,1.2578125,-1.8359375,1863,1557,1825,1632
587,0.4,-0.03125,1104,0,324,2974,-4.515625,-0.994328095643246,1.390625,-1.9375,1800,1487,1821,1623
587,0.4,0.1015625,1005,0,320,3059,-4.578125,-0.995444121959849,0.8515625,-1.4765625,1761,1414,1812,1623
615,0.600000000000001,0.2109375,1020,0,536,2805,-3.9921875,-1.00020129516725,0.8828125,-1.1796875,1720,1367,1807,1608
615,0.800000000000001,0.3828125,1455,0,536,3083,-3.4765625,-1.00319807550051,1.4296875,-1.2421875,1656,1339,1798,1589
615,1,0.46875,1758,0,621,2849,-2.4140625,-1.00019044930313,0.765625,-0.953125,1620,1269,1808,1582
615,1.3,0.53125,2114,0,649,3056,-1.1875,-1.00967981467519,0.109375,-0.75,1621,1216,1785,1570
591,1.4,0.6171875,2290,0,668,3021,-0.6875,-1.03000161966908,0.5390625,-0.75,1618,1212,1731,1541
584,1.4,0.6015625,2200,0,668,2874,-0.2109375,-1.04264203255708,1.9765625,-0.515625,1608,1213,1708,1504
584,1.5,0.5703125,2168,380,583,2956,1.140625,-1.02709083473851,1.5390625,-0.359375,1589,1223,1718,1463
551,1.5,0.5390625,2004,380,583,3022,2.1796875,-1.01286154262764,0.375,-0.34375,1604,1263,1703,1456
551,1.2,0.6640625,1709,380,480,2946,2.515625,-1.02705431832903,-0.359375,-0.4296875,1656,1296,1665,1445
447,1.2,0.609375,1939,388,442,2867,1.8359375,-1.0625299351157,0.46875,-0.3984375,1674,1321,1642,1419
430,1.1,0.6484375,1966,404,461,2963,1.8203125,-1.08848110907964,1.140625,-0.25,1719,1371,1683,1430
364,1.1,0.59375,2111,435,433,3066,1.7890625,-1.09750636423215,0.8359375,-0.3046875,1744,1418,1717,1428
318,1,0.4296875,2249,396,433,2887,2.4140625,-1.10307288413324,0.71875,-0.4453125,1795,1480,1736,1449
260,0.5,0.3203125,2446,396,367,2982,1.8515625,-1.1111194834191,1.0546875,-0.421875,1852,1541,1739,1459
260,0.100000000000001,0.0859375,2552,419,235,3037,1.34375,-1.11922455017409,0.609375,-0.2578125,1911,1574,1738,1480
256,0.100000000000001,-0.1171875,2537,390,140,2936,1.0078125,-1.13551757887631,0.9453125,-0.453125,1945,1571,1723,1479
167,-0.399999999999999,-0.2109375,2552,518,221,2927,1.125,-1.14727924054211,1.0390625,-0.453125,1975,1607,1710,1475
146,-0.399999999999999,-0.171875,2375,518,278,2982,0.3359375,-1.1496295808323,1.765625,-0.53125,1971,1658,1679,1458
113,-1.2,-0.015625,2408,578,0,2921,-0.46875,-1.13904901849641,1.359375,-0.7265625,1953,1639,1671,1440
113,-1.2,0.015625,2410,570,0,2862,-0.453125,-1.13072850141363,1.421875,-0.8125,1959,1619,1682,1445
102,-1.2,-0.0546875,2351,510,186,2931,-0.7890625,-1.11246929456965,3.4140625,-0.8515625,1955,1580,1666,1445
102,-0.9,-0.1171875,2329,518,198,2950,-1.859375,-1.06013544063385,2.3203125,-1.1640625,1942,1602,1639,1441
130,-1,-0.1328125,2487,518,278,2925,-2.390625,-1.013530841718,1.671875,-0.859375,1897,1573,1613,1403
193,-0.799999999999999,-0.0625,2443,638,405,3003,-2.6953125,-0.980975875345818,2.5546875,-1.0390625,1877,1519,1628,1410
225,-0.699999999999999,-0.0390625,2326,623,393,2921,-2.5625,-0.932351273229147,3.5703125,-1.21875,1820,1484,1644,1413
225,-0.699999999999999,0.0078125,2410,623,451,2928,-2.4375,-0.863007927217784,1.3671875,-0.7421875,1775,1481,1635,1417
225,-0.6,0.1015625,2477,563,462,2958,-3.34375,-0.820556455191529,1.578125,-0.625,1735,1491,1625,1434
168,-0.5,0.171875,2508,563,428,2987,-3.2734375,-0.790806222874575,2.3125,-0.390625,1682,1476,1606,1428
253,0,0.265625,2430,0,428,2947,-3.2578125,-0.753580732795676,1.53125,-0.2421875,1635,1449,1590,1433
265,0,0.390625,2323,473,382,2941,-3.015625,-0.726449920106234,0.5859375,-0.0234375,1624,1442,1594,1459
265,0.5,0.5546875,1923,458,359,3098,-2.859375,-0.720883428291138,0.5234375,0.1015625,1634,1441,1614,1478
284,0.5,0.734375,1916,375,301,2912,-2.8359375,-0.73094240691555,0.3515625,0.296875,1633,1438,1635,1500
394,0.800000000000001,0.796875,1932,375,301,2751,-2.4921875,-0.750987662216359,0.609375,0.390625,1624,1460,1656,1527
411,1.5,1.0625,1953,0,152,3130,-2.140625,-0.767742144100071,0.703125,0.0546875,1621,1459,1670,1536
411,1.9,1.15625,2048,380,348,2922,-1.953125,-0.784642475192139,0.1875,0.21875,1652,1483,1719,1562
411,1.9,1.34375,1950,380,489,2854,-1.6953125,-0.807923591041825,1.15625,0.1640625,1691,1481,1768,1592
437,2.1,1.484375,1897,411,536,2984,-0.9453125,-0.817144155234481,1.046875,0.171875,1691,1500,1798,1631
461,2.1,1.5390625,2000,411,536,2846,-0.6015625,-0.823657910046544,-0.078125,0.1328125,1676,1515,1788,1620
461,2.6,1.59375,1881,466,668,2889,-0.328125,-0.853316764330064,-0.578125,0.2578125,1675,1515,1789,1601
432,2.7,1.75,1812,521,734,3032,0.21875,-0.899584757607094,0.5859375,-0.0234375,1697,1510,1805,1591
461,2.7,1.8359375,1633,575,734,2836,0.546875,-0.933265229215866,-0.1015625,-0.140625,1716,1519,1818,1600
461,2.7,1.8515625,1506,575,752,2842,0.8046875,-0.970472908589944,0.296875,-0.203125,1721,1500,1825,1599
560,2.7,1.7734375,1443,560,752,3026,0.828125,-1.00467533226469,1.1171875,-0.2890625,1712,1488,1817,1551
560,2.3,1.734375,1531,528,752,2985,0.6171875,-1.02277038718937,0.53125,-0.2734375,1709,1498,1773,1505
