MaxError,CenterFrameRollRate_RotPot,CenterFrameRoll_LVDT,CylinderPressure,Speed,TiltUp,TiltDown,Condition,InletPress,ChassisPitchRate,ChassisRollAngle,ChassisRollRate,ChassisYawRate,RightFront,LeftFront,RightBack,LeftBack
770,1.4,2.2578125,2202,18.6953125,510,420,1,2960,-2.7265625,-2.60880110651348,2.4765625,-0.390625,1831,1420,1738,1459
790,1.4,2.28125,2150,18.6953125,465,460,1,2941,-2.234375,-2.55767904455605,3.7109375,-0.8046875,1756,1387,1740,1427
813,1.5,2.1953125,2067,18.6953125,0,480,1,2988,-2.0859375,-2.47148500461891,3.3046875,-0.9140625,1724,1406,1780,1455
923,1.5,2.2265625,2035,18.6953125,0,510,1,3012,-1.8671875,-2.38211952547003,1.7265625,-0.703125,1699,1411,1753,1456
989,1.3,2.1796875,1762,18.6953125,570,590,1,2977,-1.34375,-2.32855189982002,0.6484375,-0.578125,1709,1421,1720,1471
1099,1.2,2.2265625,1537,19.109375,593,630,1,2757,-0.921875,-2.31861890113503,0.328125,-0.8046875,1698,1387,1690,1477
1209,1.1,2.2109375,1838,19.109375,578,610,1,2802,-0.65625,-2.32857422182678,2,-0.984375,1682,1388,1699,1489
1099,0.9,2.234375,2121,19.109375,548,590,1,2763,-0.6328125,-2.31238678446338,2.8984375,-1.046875,1667,1406,1695,1472
1015,0.800000000000001,2.3515625,2336,19.109375,518,580,1,2751,-0.6796875,-2.2684780409787,2.1328125,-1.1015625,1677,1457,1760,1488
1015,0.800000000000001,2.296875,2437,19.109375,510,550,1,2859,-0.0234375,-2.23031074425675,1.0390625,-0.9453125,1689,1469,1811,1519
933,0.800000000000001,2.3046875,2563,19.39453125,488,470,1,2947,0.6328125,-2.21715051522256,0.9296875,-0.8984375,1753,1476,1825,1573
933,0.700000000000001,2.3203125,2583,19.39453125,0,513,1,2969,0.625,-2.21727063228516,0.9921875,-0.8046875,1800,1476,1798,1575
912,0.600000000000001,2.3828125,2553,19.39453125,0,605,1,3015,1.40625,-2.221819050984,1.3359375,-0.5234375,1815,1500,1768,1567
933,0.5,2.375,2174,19.39453125,0,577,1,3047,1.203125,-2.2287034700018,-0.296875,-0.3125,1784,1494,1729,1550
933,0.5,2.453125,1701,19.39453125,380,568,1,2767,1.0078125,-2.26964471475024,-1.1328125,-0.2578125,1782,1482,1720,1555
890,0.700000000000001,2.6015625,1354,19.5078125,0,614,1,2865,0.4296875,-2.33805160211482,0.5078125,-0.015625,1786,1451,1685,1523
890,0.800000000000001,2.6640625,1581,19.5078125,0,669,1,2792,-0.0625,-2.38891085810123,0.8984375,0.1328125,1796,1442,1675,1500
975,0.9,2.7734375,1581,19.5078125,0,706,1,2747,-0.5546875,-2.42475306325951,-0.34375,0.28125,1812,1446,1687,1514
975,1,2.734375,1907,19.5078125,0,531,1,2588,-1.15625,-2.47392118869547,-0.0625,0.1484375,1793,1401,1702,1498
975,1,2.65625,2080,19.5078125,420,380,1,2634,-1.2265625,-2.51799297240529,1.9140625,0.1015625,1792,1374,1737,1493
975,0.800000000000001,2.4609375,2445,19.80078125,435,350,1,2565,-0.46875,-2.52145082970033,1.7421875,0.1484375,1807,1383,1784,1513
865,0.4,2.234375,2804,19.80078125,443,390,1,2452,-0.0234375,-2.51253093757963,-0.09375,0.2890625,1799,1384,1766,1515
813,-0.0999999999999996,2.109375,2978,19.80078125,465,380,1,2476,-0.4140625,-2.53518491812637,0.359375,-0.0078125,1772,1353,1713,1466
799,-0.399999999999999,1.96875,2919,19.80078125,465,400,1,2416,-0.5703125,-2.56133893973018,1.4609375,0.2265625,1812,1398,1751,1492
790,-0.799999999999999,2.078125,2410,19.80078125,473,410,1,2401,-0.265625,-2.56186124611973,2.125,-0.0703125,1786,1376,1728,1446
723,-0.799999999999999,2.0859375,2269,19.80078125,473,400,1,2417,0.2109375,-2.54034295625439,1.0625,-0.2109375,1760,1359,1698,1425
628,-0.699999999999999,2.1171875,2124,19.80078125,465,380,1,2503,0.0234375,-2.52861397683492,0.4453125,-0.0625,1766,1408,1698,1438
628,-0.6,2.1640625,2030,19.80078125,413,350,1,2596,-0.921875,-2.53953683764596,-0.2734375,-0.0703125,1755,1435,1674,1430
615,-0.5,2.21875,1931,19.80078125,380,320,1,2536,-2.15625,-2.56818261877791,0.1953125,-0.4765625,1771,1443,1696,1459
615,-0.299999999999999,2.2890625,1778,19.80078125,380,366,1,2546,-2.078125,-2.59833668268268,0.890625,-0.5859375,1766,1412,1723,1478
679,-0.199999999999999,2.2421875,1756,19.87890625,380,393,1,2467,-1.671875,-2.60618065835183,2.390625,-0.671875,1752,1411,1774,1484
