MaxError,CenterFrameRollRate_RotPot,CenterFrameRoll_LVDT,CylinderPressure,Speed,TiltUp,TiltDown,Condition,InletPress,ChassisPitchRate,ChassisRollAngle,ChassisRollRate,ChassisYawRate,RightFront,LeftFront,RightBack,LeftBack
-7,0,0.71875,2093,0.3984375,360,350,0,2023,-0.9296875,-1.62235550401964,1.203125,-0.9765625,1831,1486,1803,1566
-7,0,0.7734375,2076,0.3984375,360,0,0,2045,-0.7734375,-1.62047496874332,1.1484375,-0.9296875,1826,1489,1802,1566
-7,0,0.828125,2071,0.3984375,360,0,0,2001,-0.6875,-1.61891436946289,1.1015625,-1.0078125,1827,1485,1811,1568
-50,0,0.7890625,2068,0.3984375,360,0,0,2008,-0.6796875,-1.6187821304195,1.046875,-0.8828125,1822,1483,1808,1564
-79,-0.0999999999999996,0.8203125,2064,0.3984375,360,0,0,2023,-0.7890625,-1.62024617819795,1.1328125,-0.9609375,1826,1488,1798,1562
-79,-0.0999999999999996,0.78125,2060,0.3984375,360,0,0,2008,-0.859375,-1.62102866466801,1.0625,-0.8828125,1838,1505,1812,1579
-79,-0.199999999999999,0.71875,2057,0.3984375,380,0,0,2024,-0.7421875,-1.62225732542301,1.109375,-0.8671875,1838,1496,1811,1578
-88,-0.0999999999999996,0.734375,2060,0.3984375,380,0,0,2042,-0.59375,-1.62372996963389,1.015625,-0.828125,1838,1504,1806,1582
-88,-0.0999999999999996,0.7265625,2057,0.3984375,380,0,0,2032,-0.6015625,-1.62622598696829,1.0078125,-0.859375,1852,1500,1814,1579
-88,-0.0999999999999996,0.7109375,2051,0.37109375,380,0,0,2065,-0.65625,-1.63010382441846,0.9765625,-0.7734375,1847,1514,1820,1588
22,-0.0999999999999996,0.734375,2049,0.37109375,360,0,0,2150,-0.8671875,-1.63448149327868,1.1015625,-0.90625,1843,1500,1809,1569
89,0,0.796875,2039,0.37109375,360,0,0,2377,-0.8125,-1.63825124660007,1.0234375,-0.84375,1831,1491,1817,1568
89,0.100000000000001,0.78125,2039,0.37109375,380,0,0,2464,-0.8046875,-1.64205769107614,1.1015625,-0.8828125,1835,1495,1808,1572
-21,0,0.75,2041,0.37109375,380,329,0,2396,-0.71875,-1.64466925213979,1.046875,-0.8515625,1836,1502,1814,1575
-82,0,0.75,2039,0.33984375,0,0,0,2461,-0.7265625,-1.64728274637958,1.09375,-0.8984375,1847,1512,1816,1582
-82,0,0.7578125,2004,0.33984375,0,0,0,2502,-0.78125,-1.64982281369833,1.078125,-0.84375,1843,1505,1817,1580
-82,0,0.765625,2010,0.33984375,0,0,0,2493,-0.828125,-1.65207220964708,1.1171875,-1.0234375,1845,1497,1824,1582
-82,0.100000000000001,0.7890625,2005,0.33984375,0,0,0,2457,-0.7890625,-1.6533419997277,1.078125,-0.9296875,1841,1504,1814,1582
-83,0,0.7578125,2007,0.33984375,380,0,0,2414,-0.6484375,-1.65437128543221,1.1015625,-0.984375,1836,1497,1812,1566
-83,0,0.7890625,2007,0.33984375,380,0,0,2367,-0.6171875,-1.65564971679429,1.1328125,-1,1845,1517,1813,1588
